datetime,total_load_kw,hour,day_of_year
2024-01-01 00:00:00,10.324584000216342,0,1
2024-01-01 01:00:00,7.873726754471342,1,1
2024-01-01 02:00:00,5.794446305847359,2,1
2024-01-01 03:00:00,4.240181344941126,3,1
2024-01-01 04:00:00,4.44239332341143,4,1
2024-01-01 05:00:00,8.480362689882254,5,1
2024-01-01 06:00:00,20.649168000432685,6,1
2024-01-01 07:00:00,34.087228753058056,7,1
2024-01-01 08:00:00,31.44387027722881,8,1
2024-01-01 09:00:00,25.813659770479404,9,1
2024-01-01 10:00:00,29.294761393124507,10,1
2024-01-01 11:00:00,35.57751555638862,11,1
2024-01-01 12:00:00,41.86026971965273,12,1
2024-01-01 13:00:00,37.29728486546416,13,1
2024-01-01 14:00:00,32.73430001127559,14,1
2024-01-01 15:00:00,39.0170541745397,15,1
2024-01-01 16:00:00,51.34910038047646,16,1
2024-01-01 17:00:00,66.77049202367708,17,1
2024-01-01 18:00:00,81.99679051538344,18,1
2024-01-01 19:00:00,91.83659866003737,19,1
2024-01-01 20:00:00,75.75041551379324,20,1
2024-01-01 21:00:00,51.895171015800955,21,1
2024-01-01 22:00:00,27.80646439721719,22,1
2024-01-01 23:00:00,16.5563014228239,23,1
2024-01-02 00:00:00,9.598689360212953,0,2
2024-01-02 01:00:00,7.319584375387255,1,2
2024-01-02 02:00:00,5.392095181242581,2,2
2024-01-02 03:00:00,3.962197221702686,3,2
2024-01-02 04:00:00,4.163800577708725,4,2
2024-01-02 05:00:00,7.924394443405372,5,2
2024-01-02 06:00:00,19.197378720425906,6,2
2024-01-02 07:00:00,31.665487469098363,7,2
2024-01-02 08:00:00,29.302456635313046,8,2
2024-01-02 09:00:00,24.168316060725736,9,2
2024-01-02 10:00:00,27.423244710315146,10,2
2024-01-02 11:00:00,33.246018391136836,11,2
2024-01-02 12:00:00,39.068792071958526,12,2
2024-01-02 13:00:00,34.8106069716571,13,2
2024-01-02 14:00:00,30.552421871355676,14,2
2024-01-02 15:00:00,36.37519555217736,15,2
2024-01-02 16:00:00,47.862617496024576,16,2
2024-01-02 17:00:00,62.24202847421806,17,2
2024-01-02 18:00:00,76.3989278040824,18,2
2024-01-02 19:00:00,85.36392763319503,19,2
2024-01-02 20:00:00,70.42473401307056,20,2
2024-01-02 21:00:00,48.2563035494003,21,2
2024-01-02 22:00:00,25.929747667933864,22,2
2024-01-02 23:00:00,15.445582174798668,23,2
2024-01-03 00:00:00,9.914930730638527,0,3
2024-01-03 01:00:00,7.560967810878288,1,3
2024-01-03 02:00:00,5.577070955885854,2,3
2024-01-03 03:00:00,4.1121768800543865,3,3
2024-01-03 04:00:00,4.333305529797882,4,3
2024-01-03 05:00:00,8.224353760108775,5,3
2024-01-03 06:00:00,19.829861461277055,6,3
2024-01-03 07:00:00,32.72229640830412,7,3
2024-01-03 08:00:00,30.331431960840945,8,3
2024-01-03 09:00:00,25.11531717855101,9,3
2024-01-03 10:00:00,28.48736122843863,10,3
2024-01-03 11:00:00,34.491320001202865,11,3
2024-01-03 12:00:00,40.4952787739671,12,3
2024-01-03 13:00:00,36.085227764495244,13,3
2024-01-03 14:00:00,31.67517675502338,14,3
2024-01-03 15:00:00,37.67913552778762,15,3
2024-01-03 16:00:00,49.57340956909494,16,3
2024-01-03 17:00:00,64.4850338806553,17,3
2024-01-03 18:00:00,79.10789045081431,18,3
2024-01-03 19:00:00,88.20423822576132,19,3
2024-01-03 20:00:00,72.78442777395611,20,3
2024-01-03 21:00:00,49.88039429031545,21,3
2024-01-03 22:00:00,26.862717302453643,22,3
2024-01-03 23:00:00,16.006450220730557,23,3
2024-01-04 00:00:00,9.447601041006024,0,4
