hour,grid_in,grid_out,batt_ch,batt_dis,SOC,curtail,pv,load,p2p_buy,p2p_sell,price_buy,price_sell,cost_hour,pv_to_load,pv_to_batt,pv_to_grid
1,0.0,0.0,0.0,0.0,40.0,0.0,0.0,32.402,32.402,0.0,0.24,0.1,7.77648,0.0,0,0.0
2,0.0,0.0,0.0,0.0,40.0,0.0,0.0,26.795,26.795,0.0,0.24,0.1,6.4308000000000005,0.0,0,0.0
3,26.852,0.0,0.0,0.0,40.0,0.0,0.0,26.852,0.0,0.0,0.24,0.1,6.4444799999999995,0.0,0,0.0
4,0.0,0.0,0.0,0.0,40.0,0.0,0.0,27.025,27.025,0.0,0.24,0.1,6.486,0.0,0,0.0
5,0.0,0.0,0.0,0.0,40.0,0.0,0.0001481767358408,27.098,27.097851823264158,0.0,0.24,0.1,6.503474065268606,0.0001481767358408,0,0.0
6,0.0,0.0,40.0,0.0,76.0,0.0,0.0021144546346735,33.123,73.12088554536533,0.0,0.24,0.1,17.54868578646014,0.0021144546346735,0,0.0
7,0.0,0.0,-0.0,0.0,76.0,0.0,0.0099939203847816,42.416,42.40600607961522,0.0,0.34,0.1,14.416843079191214,0.0099939203847816,0,0.0
8,0.0,0.0,0.0,-0.0,76.0,0.0,0.0259290816126242,47.763,47.737070918387374,0.0,0.48,0.1,22.90887018978056,0.0259290816126242,0,0.0
9,0.0,0.0,0.0,-0.0,76.0,0.0,0.050025357103329,36.384,36.33397464289667,0.0,0.48,0.1,17.430816079174893,0.050025357103329,0,0.0
10,0.0,0.0,0.0,0.0,76.0,0.0,0.0680130204323389,32.552,32.48398697956766,0.0,0.48,0.1,15.579418276079322,0.0680130204323389,0,0.0
11,0.0,0.0,0.0,0.0,76.0,0.0,0.0803736388802421,36.07,35.98962636111976,0.0,0.48,0.1,17.259783689816807,0.0803736388802421,0,0.0
12,0.0,0.0,0.0,0.0,76.0,0.0,0.0861766970946822,41.466,41.37982330290532,0.0,0.48,0.1,19.84597564131663,0.0861766970946822,0,0.0
13,0.0,0.0,0.0,0.0,76.0,0.0,0.0844076670557717,46.484,46.39959233294423,0.0,0.48,0.1,22.255795984583457,0.0844076670557717,0,0.0
14,0.0,0.0,0.0,0.0,76.0,0.0,0.0760386043839169,40.704,40.62796139561608,0.0,0.48,0.1,19.48700112393801,0.0760386043839169,0,0.0
15,0.0,0.0,0.0,0.0,76.0,0.0,0.0611560638218763,41.431,41.36984393617812,0.0,0.48,0.1,19.84592258894186,0.0611560638218763,0,0.0
16,0.0,0.0,0.0,32.4,40.0,0.0,0.0422642211067877,46.988,14.54573577889321,0.0,0.48,0.1,6.979467322232305,0.0422642211067877,0,0.0
17,0.0,0.0,40.0,0.0,76.0,0.0,0.020333950056204,58.757,98.73666604994379,0.0,0.48,0.1,47.38710746946695,0.020333950056204,0,0.0
18,0.0,0.0,0.0,14.0,60.44444444444444,0.0,0.0066478516817985,70.037,56.0303521483182,0.0,0.48,0.1,26.89355854417238,0.0066478516817985,0,0.0
19,0.0,0.0,0.0,40.0,16.0,0.0,0.0014009485516645,83.675,43.673599051448335,0.0,0.48,0.1,20.963188613731184,0.0014009485516645,0,0.0
20,99.33099330200173,0.0,0.0,0.0,16.0,0.0,6.697998270644185e-06,99.331,0.0,0.0,0.34,0.1,33.77253772268059,6.697998270644185e-06,0,0.0
21,0.0,0.0,-0.0,0.0,16.0,0.0,0.0,110.226,110.226,0.0,0.34,0.1,37.47684,0.0,0,0.0
22,0.0,0.0,0.0,-0.0,16.0,0.0,0.0,95.152,95.152,0.0,0.34,0.1,32.35168,0.0,0,0.0
23,71.348,0.0,-0.0,0.0,16.0,0.0,0.0,71.348,0.0,0.0,0.24,0.1,17.12352,0.0,0,0.0
24,77.88066666666666,0.0,26.666666666666664,0.0,40.0,0.0,0.0,51.214,0.0,0.0,0.24,0.1,18.691359999999996,0.0,0,0.0
